articulo,cantidad
10064281,240
10064282,420
10064283,420
10185011,480
10185012,960
10185013,640
10185091,350
10185092,984
10185093,492
10203561,248
10203562,310
10203563,248
10206031,256
10206032,384
10206033,384
10206034,256
10231011,144
10231012,360
10231013,216
10231014,144
10253091,350
10253092,560
10253093,490
10291031,300
10291801,300
10291803,280
10291812,300
10310031,240
10310032,120
10310033,120
10310034,120
10310035,120
10310451,112
10310452,112
10310453,112
10310454,112
10310455,112
10311621,120
10311622,120
10311623,120
10312621,120
10312622,240
10312623,120
10312624,120
10378451,120
10378452,180
10378453,120
10378456,120
10380011,408
10380012,680
10380013,544
10380031,444
10380032,740
10380033,592
10380041,408
10380042,612
10380043,544
10380551,340
10380552,680
10380553,612
10380621,462
10380622,594
10380623,528
10380811,518
10380812,666
10380813,592
10381131,184
10381132,276
10381133,184
10381161,192
10381162,288
10381163,192
10381371,184
10381372,276
10381373,184
10381381,200
10381382,300
10381383,200
10381391,192
10381392,288
10381393,192
10382381,288
10382382,720
10382383,576
10384381,288
10384382,432
10384383,432
10384384,144
10389621,50
10389622,50
10389623,50
B074032,60
B074033,60
RL271431,144
RL271432,144
RL271433,72

