articulo,cantidad,taller
10069281,408,T4
10069283,272,T4
10069621,3,T4
10069622,1,T4
10140102,2,T4
10140103,2,T4
10140552,1,T4
10140801,280,T4
10140802,488,T4
10140803,270,T4
10185091,20,T4
10201093,4,T4
10276091,210,T4
10276094,138,T4
10293012,2,T4
10293031,116,T4
10293032,228,T4
10293033,230,T4
10293551,1,T4
10293552,221,T4
10293553,227,T4
10293623,9,T4
10293812,6,T4
10298011,16,T4
10298012,43,T4
10298013,42,T4
10298031,13,T4
10298032,56,T4
10298033,17,T4
10298551,10,T4
10298552,9,T4
10298553,21,T4
10298811,15,T4
10298812,93,T4
10298813,36,T4
10306033,1,T4
10306803,9,T4
10306811,3,T4
10313032,347,T4
10313033,221,T4
10336802,82,T4
10367012,126,T4
10367014,215,T4
10367031,258,T4
10367032,446,T4
10367033,105,T4
10367622,140,T4
10382372,126,T4
10384164,228,T4
10388163,72,T4
10013013,1,T6
10013014,3,T6
10013032,1,T6
10013033,5,T6
10013034,152,T6
10013035,2,T6
10013043,224,T6
10013045,336,T6
10013095,310,T6
10013623,83,T6
10013625,8,T6
10051033,3,T6
10051561,25,T6
10051563,35,T6
10051642,3,T6
10051643,2,T6
10051662,2,T6
10061262,4,T6
10061263,2,T6
10253031,177,T6
10253032,1,T6
10253092,51,T6
10253621,120,T6
10253622,419,T6
10253623,2,T6
10273011,2,T6
10273031,676,T6
10273032,727,T6
10273033,1119,T6
10273041,492,T6
10273043,1008,T6
10273283,2,T6
10273431,59,T6
10273432,106,T6
10273433,4,T6
10273551,133,T6
10273552,743,T6
10273553,1034,T6
10288011,36,T6
10288012,31,T6
10288013,1,T6
10288431,5,T6
10288432,9,T6
10288433,5,T6
10288552,3,T6
10288801,7,T6
10288802,8,T6
10288803,9,T6
10380012,1,T6
10380013,145,T6
10380032,10,T6
10380043,328,T6
10380551,3,T6
10380552,3,T6
10380553,26,T6
RL010031,1,T6
RL010032,1,T6
RL010033,12,T6
RL010041,3,T6
RL010043,2,T6
RL010551,2,T6
RL010552,1,T6
RL012011,2,T6
RL012012,2,T6
RL012013,8,T6
RL012032,3,T6
RL012033,1,T6
RL012042,1,T6
RL012101,1,T6
RL012103,1,T6
RL012622,2,T6
RL012623,1,T6
RL690013,156,T6
RL810011,2,T6
RL810012,1,T6
RL810013,1,T6
