articulo,cantidad,taller
10026551,380,T4
10026552,608,T4
10026553,608,T4
10069282,748,T4
10069283,340,T4
10185092,660,T4
10185093,440,T4
10201092,855,T4
10201093,528,T4
10276092,420,T4
10276093,280,T4
10291802,300,T4
10298032,240,T4
10298033,310,T4
10306032,496,T4
10306033,496,T4
10306812,275,T4
10306813,233,T4
10313601,126,T4
10313602,189,T4
10313603,189,T4
10313801,124,T4
10313802,186,T4
10313803,186,T4
10314032,408,T4
10314033,340,T4
10314121,620,T4
10314122,620,T4
10314123,620,T4
10314601,252,T4
10314602,378,T4
10314603,315,T4
10314801,248,T4
10314802,372,T4
10314803,310,T4
10367011,256,T4
10367012,194,T4
10367013,448,T4
10367033,384,T4
10367034,140,T4
10367551,282,T4
10367552,521,T4
10367553,521,T4
10367554,281,T4
10367621,280,T4
10367622,490,T4
10367623,490,T4
10367624,280,T4
10368031,64,T4
10368032,128,T4
10368033,192,T4
10368034,192,T4
10368621,70,T4
10368622,210,T4
10368623,210,T4
10368624,140,T4
10382162,576,T4
10382163,720,T4
10382371,220,T4
10382372,364,T4
10382373,640,T4
10384161,228,T4
10384162,456,T4
10384163,380,T4
10384371,222,T4
10384372,444,T4
10388161,432,T4
10388162,905,T4
10388163,720,T4
10388371,420,T4
10388372,776,T4
10388373,700,T4
10013012,144,T6
10013013,288,T6
10013014,288,T6
10013015,216,T6
10306601,348,T6
10306602,870,T6
10306603,522,T6
10225211,186,T8
10225213,820,T8
10364621,90,T8
10364622,135,T8
10364623,135,T8
10012031,140,TA
10026102,504,TA
10026103,26,TA
10026801,208,TA
10026802,312,TA
10026803,208,TA
10041021,222,TA
10041022,769,TA
10041023,447,TA
10041024,222,TA
10041032,143,TA
10041033,456,TA
10041034,195,TA
10041094,100,TA
10041801,132,TA
10041802,726,TA
10041803,396,TA
10041804,198,TA
10185123,518,TA
10188031,272,TA
10188032,476,TA
10188033,200,TA
10188034,204,TA
10188551,248,TA
10188552,434,TA
10188553,310,TA
10188554,186,TA
10201121,336,TA
10201123,30,TA
10219212,30,TA
10219552,286,TA
10223011,152,TA
10223012,64,TA
10223031,78,TA
10223033,122,TA
10223551,240,TA
10223552,320,TA
10223553,240,TA
10223802,50,TA
10304622,20,TA
10306121,164,TA
10306122,378,TA
10306123,300,TA
10306801,488,TA
10306802,1037,TA
10306803,590,TA
10315431,100,TA
10315432,200,TA
10315433,200,TA
10336011,30,TA
10336012,115,TA
10336013,90,TA
10365011,36,TA
10365031,37,TA
10382391,280,TA
10382392,700,TA
10382393,630,TA
10384391,288,TA
10384392,368,TA
10384393,432,TA
10384394,144,TA
10388391,490,TA
10388392,1008,TA
10388393,770,TA
RL640013,40,TA
RL640035,40,TA
RL640036,40,TA
RL640806,40,TA
RL770013,65,TA
RL770014,70,TA
RL770015,68,TA
RL770016,60,TA
RL770034,46,TA
RL770035,19,TA
RL770036,35,TA
RL770434,40,TA
RL770435,34,TA
RL770436,44,TA
RL770804,55,TA
RL770805,65,TA
RL770806,60,TA
RL840013,80,TA
RL840014,100,TA
RL840015,120,TA
RL840016,80,TA
RL840033,60,TA
RL260261,256,TB
RL260263,384,TB
RL260552,223,TB
RL300031,140,TB
RL300101,180,TB
RL300811,241,TB
RL300812,394,TB
RL300813,329,TB
RL370101,159,TB
RL370103,148,TB
RL490011,396,TB
RL490012,462,TB
RL510552,80,TB
RL510553,58,TB
RL540044,116,TB
RL540045,116,TB
RL540074,50,TB
RL540075,50,TB
RL540076,50,TB
RL550012,81,TB
RL550013,178,TB
RL560033,90,TB
RL560036,48,TB
RL560105,60,TB
RL560106,73,TB
RL570623,130,TB
RL600431,360,TB
RL600432,216,TB
RL600433,216,TB
RL620094,60,TB
RL620095,60,TB
RL620096,120,TB
RL650011,20,TB
RL650031,240,TB
RL650033,288,TB
RL650101,144,TB
RL650102,360,TB
RL650103,216,TB
RL650551,150,TB
RL650552,203,TB
RL650553,136,TB
RL650801,95,TB
RL700031,144,TB
RL700032,360,TB
RL700033,288,TB
RL700431,192,TB
RL700432,192,TB
RL700433,144,TB
RL700551,272,TB
RL700801,280,TB
RL700802,280,TB
RL700803,210,TB
RL730011,216,TB
RL730012,363,TB
RL730013,102,TB
RL730031,164,TB
RL730032,250,TB
RL730033,164,TB
RL730101,90,TB
RL730102,175,TB
RL730801,180,TB
RL730802,180,TB
RL730803,180,TB
RL750013,70,TB
RL750015,70,TB
RL800032,88,TB
RL800033,186,TB
RL800801,110,TB
RL800802,168,TB
RL800803,168,TB
RL870801,128,TB
RL870802,124,TB
RL870803,191,TB
10385011,308,TE
10385012,616,TE
10385013,385,TE
10385032,608,TE
10385471,308,TE
10385472,505,TE
10385473,308,TE
10385802,363,TE
10386011,318,TE
10386012,406,TE
10386013,401,TE
10386031,258,TE
10386033,512,TE
10386471,221,TE
10386472,401,TE
10386473,218,TE
10386621,1,TE
10386623,5,TE
10386803,2,TE
10387011,461,TE
10387012,540,TE
10387013,542,TE
10387031,296,TE
10387033,3,TE
10387472,385,TE
10387473,540,TE
10387621,2,TE
10387622,1,TE
10387801,1,TE
10387802,297,TE
10387803,4,TE
