articulo,cantidad
10009001,0
10009002,0
10010011,223
10010012,573
10010013,395
10010031,341
10010032,544
10010033,316
10010041,318
10010042,781
10010043,450
10010051,0
10010052,0
10010053,0
10010061,0
10010062,0
10010063,0
10010071,0
10010072,0
10010073,0
10010261,204
10010262,461
10010263,232
10010281,0
10010282,0
10010283,0
10010291,348
10010292,728
10010293,582
10010621,364
10010622,624
10010623,344
10011011,0
10011012,0
10011013,0
10011031,0
10011032,0
10011033,0
10011041,0
10011042,0
10011043,0
10011051,0
10011052,0
10011053,0
10011081,0
10011082,0
10011083,0
10011091,0
10011092,0
10011093,0
10011101,0
10011102,0
10011103,0
10011201,0
10011202,0
10011203,0
10011211,0
10011212,0
10011213,1
10011221,0
10011222,0
10011223,0
10011261,0
10011262,0
10011263,0
10011271,0
10011272,0
10011273,0
10011431,0
10011432,0
10011433,0
10012011,162
10012012,7
10012013,25
10012021,308
10012022,10
10012023,153
10012031,93
10012032,209
10012033,235
10012051,2
10012052,0
10012053,0
10012101,184
10012102,0
10012103,0
10012121,0
10012122,0
10012123,0
10012221,113
10012222,0
10012223,1
10012281,2
10012282,0
10012283,0
10012431,43
10012432,45
10012433,8
10013011,129
10013012,93
10013013,73
10013014,41
10013015,45
10013031,298
10013032,512
10013033,1190
10013034,1758
10013035,745
10013041,196
10013042,366
10013043,83
10013044,425
10013045,345
10013081,0
10013082,0
10013083,0
10013084,0
10013085,0
10013091,182
10013092,159
10013093,158
10013094,246
10013095,107
10013131,0
10013132,0
10013133,0
10013134,0
10013135,0
10013181,6
10013182,0
10013183,0
10013184,0
10013185,0
10013621,137
10013622,25
10013623,282
10013624,512
10013625,818
10014013,0
10014014,0
10014015,0
10014016,0
10014017,0
10014018,0
10015011,0
10015012,0
10015013,0
10015031,0
10015032,0
10015033,0
10015051,0
10015052,0
10015053,0
10015061,0
10015062,0
10015063,0
10015111,0
10015112,0
10015113,0
10015131,0
10015132,0
10015133,0
10015151,0
10015152,0
10015153,0
10015281,0
10015282,0
10015283,0
10016011,0
10016012,0
10016013,0
10016031,0
10016032,0
10016033,0
10016051,0
10016052,0
10016053,0
10016061,0
10016062,0
10016063,0
10016101,0
10016102,0
10016103,0
10017011,0
10017012,0
10017013,0
10017031,0
10017032,0
10017033,0
10017051,0
10017052,0
10017053,0
10017061,0
10017062,0
10017063,0
10017111,0
10017112,0
10017113,0
10017131,0
10017132,0
10017133,0
10017151,0
10017152,0
10017153,0
10017281,0
10017282,0
10017283,0
10017321,0
10017322,0
10017323,0
10017791,0
10017792,0
10017793,0
10018011,0
10018012,0
10018013,0
10018031,0
10018032,0
10018033,0
10018051,0
10018052,0
10018053,0
10018101,0
10018102,0
10018103,0
10018121,0
10018122,0
10018123,0
10018221,0
10018222,0
10018223,0
10018281,0
10018282,0
10018283,0
10019013,0
10019014,0
10019015,0
10019016,0
10019033,0
10019034,0
10019035,0
10019036,0
10019053,0
10019054,0
10019055,0
10019056,0
10019063,0
10019064,0
10019065,0
10019066,0
10019073,0
10019074,0
10019075,0
10019076,0
10021012,0
10021013,0
10021014,0
10021015,0
10021016,0
10021017,0
10021018,0
10021062,0
10021063,0
10021064,0
10021065,0
10021066,0
10021067,0
10021068,0
10021132,0
10021133,0
10021134,0
10021135,0
10021136,0
10021137,0
10021138,0
10021252,0
10021253,0
10021254,0
10021255,0
10021256,0
10021257,0
10021258,0
10021322,0
10021323,0
10021324,0
10021325,0
10021326,0
10021327,0
10021328,0
10021352,0
10021353,0
10021354,0
10021355,0
10021356,0
10021357,0
10021358,0
10022011,0
10022012,0
10022013,0
10022031,0
10022032,0
10022033,0
10022041,0
10022042,0
10022043,0
10022081,0
10022082,0
10022083,0
10022091,0
10022092,0
10022093,0
10022101,0
10022102,0
10022103,0
10023011,0
10023012,0
10023013,0
10023031,0
10023032,0
10023033,0
10023051,0
10023052,0
10023053,0
10023061,0
10023062,0
10023063,0
10023131,0
10023132,0
10023133,0
10024013,0
10024014,0
10024015,0
10024016,0
10024033,0
10024034,0
10024035,0
10024036,0
10024053,0
10024054,0
10024055,0
10024056,0
10024063,0
10024064,0
10024065,0
10024066,0
10025013,0
10025014,0
10025015,0
10025016,0
10025023,0
10025024,0
10025025,0
10025026,0
10025033,0
10025034,0
10025035,0
10025036,0
10025043,0
10025044,0
10025045,0
10025046,0
10025053,0
10025054,0
10025055,0
10025056,0
10025063,0
10025064,0
10025065,0
10025066,0
10025093,0
10025094,0
10025095,0
10025096,0
10025133,0
10025134,0
10025135,0
10025136,0
10025223,0
10025224,0
10025225,0
10025226,0
10026011,1134
10026012,2165
10026013,773
10026021,919
10026022,1740
10026023,819
10026031,1028
10026032,1761
10026033,804
10026051,1
10026052,0
10026053,0
10026061,0
10026062,0
10026063,0
10026071,486
10026072,739
10026073,549
10026091,0
10026092,0
10026093,0
10026101,455
10026102,195
10026103,120
10026131,0
10026132,0
10026133,0
10026161,0
10026162,0
10026163,0
10026221,388
10026222,453
10026223,256
10026261,455
10026262,434
10026263,348
10026281,81
10026282,9
10026283,6
10026331,0
10026332,0
10026333,0
10026551,269
10026552,404
10026553,135
10026621,555
10026622,1081
10026623,595
10026801,229
10026802,308
10026803,37
10027011,0
10027012,0
10027013,0
10027014,0
10027021,0
10027022,0
10027023,0
10027024,0
10027031,0
10027032,0
10027033,0
10027034,0
10027051,0
10027052,0
10027053,0
10027054,0
10027091,0
10027092,0
10027093,0
10027094,0
10027101,0
10027102,0
10027103,0
10027104,0
10027281,0
10027282,0
10027283,0
10027284,0
10028011,0
10028012,0
10028013,0
10028031,0
10028032,0
10028033,0
10028101,0
10028102,0
10028103,0
10028121,0
10028122,0
10028123,0
10028221,0
10028222,0
10028223,0
10029011,105
10029012,833
10029013,152
10029014,285
10029021,81
10029022,396
10029023,257
10029024,157
10029031,75
10029032,362
10029033,202
10029034,78
10029091,73
10029092,169
10029093,147
10029094,78
10030012,0
10030013,0
10030014,0
10031013,0
10031014,0
10031015,0
10031016,0
10031033,0
10031034,0
10031035,0
10031036,0
10031263,0
10031264,0
10031265,0
10031266,0
10031303,0
10031304,0
10031305,0
10031306,0
10031333,0
10031334,0
10031335,0
10031336,0
10032011,0
10032012,0
10032013,0
10032031,0
10032032,0
10032033,0
10032261,0
10032262,0
10032263,0
10032301,0
10032302,0
10032303,0
10032331,0
10032332,0
10032333,0
10033011,3
10033012,0
10033013,0
10033031,2
10033032,0
10033033,0
10033101,0
10033102,0
10033103,0
10033121,0
10033122,0
10033123,0
10033221,42
10033222,0
10033223,0
10033261,1
10033262,0
10033263,0
10033301,6
10033302,0
10033303,0
10033331,14
10033332,0
10033333,0
10035013,0
10035014,0
10035015,0
10035016,0
10035033,0
10035034,0
10035035,0
10035036,0
10035223,0
10035224,0
10035225,0
10035226,0
10035263,0
10035264,0
10035265,0
10035266,0
10035333,0
10035334,0
10035335,0
10035336,0
10036015,0
10036016,0
10036017,0
10036018,0
10037013,0
10037014,0
10037015,0
10037033,0
10037034,0
10037035,0
10037043,0
10037044,0
10037045,0
10037083,0
10037084,0
10037085,0
10037093,0
10037094,0
10037095,0
10037103,0
10037104,0
10037105,0
10039011,158
10039012,317
10039013,138
10039014,221
10039015,210
10039091,118
10039092,353
10039093,45
10039094,134
10039095,180
10039131,12
10039132,17
10039133,0
10039134,0
10039135,0
10039331,16
10039332,5
10039333,1
10039334,0
10039335,0
10039621,88
10039622,213
10039623,427
10039624,271
10039625,321
10040011,176
10040012,174
10040013,409
10040014,0
10040031,265
10040032,403
10040033,311
10040034,0
10040051,0
10040052,0
10040053,0
10040054,0
10040061,0
10040062,0
10040063,0
10040064,0
10040071,67
10040072,332
10040073,244
10040074,0
10040101,97
10040102,350
10040103,335
10040104,0
10040121,0
10040122,0
10040123,0
10040124,0
10040131,0
10040132,0
10040133,0
10040134,0
10040221,395
10040222,431
10040223,26
10040224,0
10040261,181
10040262,19
10040263,43
10040264,0
10040281,501
10040282,291
10040283,273
10040284,0
10040331,0
10040332,0
10040333,0
10040334,227
10040551,541
10040552,804
10040553,461
10040621,378
10040622,31
10040623,677
10040801,314
10040802,745
10040803,586
10041011,780
10041012,476
10041013,552
10041014,273
10041021,213
10041022,181
10041023,295
10041024,62
10041031,187
10041032,567
10041033,68
10041034,61
10041051,0
10041052,0
10041053,0
10041054,52
10041091,148
10041092,300
10041093,15
10041094,65
10041101,283
10041102,320
10041103,246
10041104,252
10041281,131
10041282,174
10041283,17
10041284,82
10041541,0
10041542,0
10041543,0
10041544,0
10041801,246
10041802,190
10041803,249
10041804,116
10042013,0
10042014,0
10042015,0
10042016,0
10042017,0
10042018,0
10042053,0
10042054,0
10042055,0
10042056,0
10042057,0
10042058,0
10042063,0
10042064,0
10042065,0
10042066,0
10042067,0
10042068,0
10042093,0
10042094,0
10042095,0
10042096,0
10042097,0
10042098,0
10042123,0
10042124,0
10042125,0
10042126,0
10042127,0
10042128,0
10042193,0
10042194,0
10042195,0
10042196,0
10042197,0
10042198,0
10042253,0
10042254,0
10042255,0
10042256,0
10042257,0
10042258,0
10042283,0
10042284,0
10042285,0
10042286,0
10042287,0
10042288,0
10043011,0
10043012,0
10043013,0
10043031,0
10043032,0
10043033,0
10043201,0
10043202,0
10043203,0
10043211,0
10043212,0
10043213,0
10043221,0
10043222,0
10043223,0
10044014,7
10044015,47
10044016,65
10044017,69
10044024,42
10044025,48
10044026,55
10044027,107
10044034,24
10044035,3
10044036,1
10044037,38
