articulo,cantidad
10040622,660
10040802,1
10040803,1
10045031,23
10045033,29
10056013,1
10056014,1
10112034,1
10112036,1
10112624,60
10112625,50
10112626,60
10155805,60
10155806,60
10165036,1
10165037,1
10186013,76
10186015,76
10186016,76
10186093,1
10186094,64
10186095,64
10197023,490
10206021,386
10206022,480
10206023,180
10206031,183
10206032,237
10213031,214
10213032,203
10213033,106
10213034,107
10231031,144
10231032,144
10231033,280
10231034,144
10231624,1
10261625,60
10261626,2
10285031,288
10285032,288
10285033,128
10285034,128
10290015,2
10290813,80
10290814,80
10291011,200
10291012,200
10291033,1
10291803,150
10291813,115
10294014,2
10294015,1
10294016,3
10294034,66
10294035,66
10294037,66
10295801,85
10295802,205
10295803,283
10296471,400
10296472,500
10296473,500
10296551,398
10296552,694
10296553,18
10307606,1
10310621,116
10310622,116
10310623,116
10310624,116
10310625,116
10312031,120
10312032,240
10312033,120
10312034,120
10325553,3
10330801,140
10330802,280
10337034,66
10337035,66
10337036,66
10340801,2
10348031,72
10348032,72
10348033,72
10348034,72
10353031,120
10353032,240
10353033,240
10353034,120
10353621,120
10353622,240
10353623,240
10353624,120
10358621,50
10358622,50
10358623,50
10358624,50
10359625,2
10359804,4
10359805,1
10359807,13
10360803,1
10360805,1
10361041,127
10361651,2
10361652,17
10361661,48
10361663,54
10364031,28
10364033,96
10368011,138
10368012,207
10368013,222
10368014,139
10368804,18
10372014,2
10372626,1
10373031,136
10373032,136
10373033,136
10373621,128
10373622,128
10373623,128
10373801,144
10373802,170
10373803,102
10375031,113
10375032,172
10375033,222
10375621,128
10375622,192
10375623,128
10382131,365
10382132,580
10382133,658
10384131,280
10384132,420
10384134,216
10388131,576
10388132,910
10388133,792
B070102,60
B070103,64
B070431,50
B070432,50
B070433,50
B070434,50
RL790801,79
RL790802,80
RL790803,71
